iter	Logloss	Accuracy
0	0.6843696702	0.791	01	0.6766613899	02	02	0.2	0.6704106494	3	0.3	0.3	0.66185940614	0.64	0.65369830915	5	0.65	0.6463068571	06	6	06	0.63927461237	0.6377	0.6316291254	08	0.8	8	0.6253003331	09	9	0.9	0.6208605434	010	10	0.6148949707	011	11	0.6091655971	0.8112	0.6032247096	0.8
13	0.59912636	0.80125
14	0.5931400276	0.8
15	0.5870720659	0.80125
16	0.5831815073	0.8025
17	0.5785279327	0.80375
18	0.5735859801	0.80375
19	0.5692986437	0.80375
20	0.5642099554	0.80125
21	0.5596944306	0.80125
22	0.5570430944	0.80125
23	0.5527591988	0.80125
24	0.5485366242	0.8025
25	0.54443552	0.8025
26	0.5407674288	0.80125
27	0.5377133389	0.80125
28	0.5339043702	0.80375229	0.5308700562	0.80375330	0.5282544028	0.80373331	0.5249472693	0.80373332	0.5231887833	0.8033333	0.5205141239	0.8034334	0.5176027636	0.805335	0.5146061236	0.80625336	0.5124430789	0.80625337	0.5096565592	0.8038	338	0.5071101549	0.8039	339	0.5048510697	0.8040440	0.5022731967	0.841	041	0.5011293181	0.8042	42	0.499200238	0.804343	0.4972090656	0.805444	0.4961852684	0.80375445	0.4941052875	0.805
46	0.4931533412	0.805
47	0.4913555822	0.805
48	0.488946066	0.805
49	0.487359056	0.805
50	0.4853505108	0.805
51	0.4845327174	0.80625
52	0.4837516586	0.805
53	0.4821939628	0.805
54	0.4804755767	0.80375555	0.4793209597	0.8056	056	0.4777908373	0.8057	057	0.4764834021	0.8058	058	0.4752608239	0.805959	0.474659123	0.80375660	0.4742454553	0.805
61	0.4733281185	0.805
62	0.4717679244	0.805
63	0.4707050029	0.805
64	0.4698109503	0.805
65	0.4694247377	0.805
66	0.4691166625	0.80375
67	0.4688553765	0.80375
68	0.4682223199	0.805
69	0.4676237884	0.8075
70	0.4670993262	0.80875
71	0.4664415154	0.8075
72	0.4653244416	0.8075
73	0.4645488098	0.8075
74	0.4629774331	0.8075
75	0.4620001588	0.8075
76	0.4610827684	0.80625
77	0.4599661874	0.80875
78	0.4588364624	0.81
79	0.4578947711	0.81125
80	0.4566606708	0.81
81	0.4559201146	0.8125
82	0.4551960241	0.81375
83	0.4544272001	0.81375
84	0.4536504427	0.8125
85	0.4533114098	0.8125
86	0.4526717868	0.8125
87	0.4519744921	0.81
88	0.4511691662	0.81
89	0.4507761614	0.81
90	0.4493116887	0.8125
91	0.4490121295	0.815
92	0.4479509916	0.81375
93	0.4472237292	0.8175
94	0.446734882	0.8175
95	0.4454945853	0.815
96	0.44487369	0.815
97	0.444767659	0.81375
98	0.4440322989	0.8125
99	0.4436191522	0.815
100	0.443402493	0.81375
101	0.4426136536	0.81375
102	0.4414325938	0.8175
103	0.4408182071	0.82
104	0.4398180399	0.8225
105	0.4394803285	0.82125
106	0.4391459567	0.82
107	0.4385085468	0.82125
108	0.438434849	0.82
109	0.43819774	0.82125
110	0.4377416753	0.82125
111	0.437511658	0.82
112	0.4367694874	0.82
113	0.4365741274	0.82
114	0.4363635389	0.82
115	0.436009083	0.82
116	0.4357023583	0.82
117	0.4353092894	0.82125
118	0.4350510048	0.82125
119	0.4348870072	0.82125
120	0.4343730388	0.82
121	0.433905058	0.8225
122	0.4337642057	0.82125
123	0.4335120012	0.82125
124	0.4334524192	0.82125
125	0.4328519005	0.82
126	0.4326588319	0.82
127	0.4321912961	0.82
128	0.4314098904	0.82375
129	0.4310110651	0.8225
130	0.4307195792	0.82375
131	0.4304136179	0.8225
132	0.4300740225	0.82
133	0.4297767374	0.82
134	0.4292991333	0.82125
135	0.4285737303	0.82125
136	0.4284495796	0.82125
137	0.4283733686	0.82125
138	0.4281282471	0.82125
139	0.4277464637	0.82125
140	0.42737549	0.82125
141	0.4271937661	0.82125
142	0.4268557881	0.82
143	0.4267584138	0.82
144	0.4266410603	0.82
145	0.426537803	0.82
146	0.4265034215	0.82
147	0.4262396915	0.82
148	0.4260490957	0.82125
149	0.4259194739	0.82125
150	0.4258964414	0.82125
151	0.4255350423	0.82125
152	0.4254252443	0.8225
153	0.4251867036	0.8225
154	0.4245850618	0.82125
155	0.4244966455	0.8225
156	0.4240961197	0.8225
157	0.4228760125	0.8225
158	0.4224440625	0.8225
159	0.4222932717	0.8225
160	0.4218376133	0.8225
161	0.4215927229	0.8225
162	0.4213187495	0.8225
163	0.4210428103	0.8225
164	0.4209158692	0.8225
165	0.4206869906	0.8225
166	0.4205025518	0.8225
167	0.4201633636	0.8225
168	0.4200657315	0.8225
169	0.4199520427	0.8225
170	0.4195790698	0.8225
171	0.4195513812	0.8225
172	0.4194405742	0.8225
173	0.4193568338	0.8225
174	0.4190579804	0.8225
175	0.418887792	0.8225
176	0.4188097781	0.8225
177	0.4186178976	0.8225
178	0.4185454082	0.8225
179	0.4182495431	0.8225
180	0.418220215	0.8225
181	0.4181527353	0.8225
182	0.4180206213	0.8225
183	0.4178578836	0.8225
184	0.4176106386	0.82375
185	0.4175607388	0.82375
186	0.417412697	0.82375
187	0.4173799474	0.82375
188	0.4171605057	0.82375
189	0.4171103226	0.825
190	0.4168422408	0.82375
191	0.4166176664	0.82375
192	0.4166028455	0.82375
193	0.416474162	0.82375
194	0.4162711207	0.82375
195	0.41626234	0.82375
196	0.4159562794	0.82375
197	0.4153847956	0.82375
198	0.4152556272	0.825
199	0.4151531485	0.825
200	0.4149985527	0.825
201	0.4145168016	0.82375
202	0.4141170915	0.825
203	0.4138646255	0.825
204	0.4138148687	0.825
205	0.4137627668	0.825
206	0.4137120309	0.825
207	0.4133060701	0.825
208	0.4130145593	0.8225
209	0.4126566636	0.825
210	0.4126323115	0.825
211	0.41246531	0.82375
212	0.4120521022	0.825
213	0.4119393652	0.825
214	0.4118651041	0.825
215	0.4114582081	0.825
216	0.4112710515	0.825
217	0.4110990828	0.825
218	0.410736975	0.82375
219	0.4107343094	0.82375
220	0.4107094018	0.82375
221	0.4106849915	0.82375
222	0.4105553738	0.82375
223	0.410078844	0.825
224	0.4100355624	0.825
225	0.410032015	0.825
226	0.409962817	0.825
227	0.4098958107	0.825
228	0.409678792	0.82625
229	0.4093312963	0.825
230	0.4091582498	0.825
231	0.4087154549	0.825
232	0.4086542367	0.825
233	0.40865196	0.825
234	0.4086497415	0.825
235	0.4086177105	0.825
236	0.4083676497	0.825
237	0.4081321756	0.82625
238	0.4080865859	0.82625
239	0.4080646194	0.82625
240	0.4080617163	0.82625
241	0.4078288304	0.825
242	0.4078163884	0.825
243	0.4076543742	0.825
244	0.4075982123	0.825
245	0.4075794286	0.825
246	0.4075036117	0.825
247	0.4075025774	0.825
248	0.4074948037	0.825
249	0.4074067689	0.82375
250	0.4073358181	0.82375
251	0.4069424374	0.82375
252	0.4068258183	0.825
253	0.4067883518	0.825
254	0.4067544023	0.825
255	0.4067384694	0.825
256	0.4067115524	0.825
257	0.4066388247	0.82375
258	0.4064429157	0.82375
259	0.4061178539	0.825
260	0.406115196	0.825
261	0.4061150237	0.825
262	0.4060722554	0.825
263	0.4060349661	0.825
264	0.406034803	0.825
265	0.4057937245	0.825
266	0.4056577195	0.825
267	0.4056002931	0.825
268	0.4054718386	0.825
269	0.4053190786	0.825
270	0.405303937	0.825
271	0.4050566951	0.825
272	0.4047360069	0.82625
273	0.4046033489	0.82625
274	0.4045676093	0.82625
275	0.4045092548	0.82625
276	0.4044511776	0.82625
277	0.4043532685	0.82625
278	0.4043361742	0.82625
279	0.4042736445	0.82625
280	0.4040059284	0.82625
281	0.4039217313	0.82625
282	0.4039216588	0.82625
283	0.4039216329	0.82625
284	0.403711553	0.82625
285	0.4036727002	0.82625
286	0.4036650894	0.82625
287	0.4036605017	0.82625
288	0.4036471305	0.82625
289	0.4034731971	0.825
290	0.4031238359	0.82625
291	0.4030726295	0.82625
292	0.4029563132	0.82625
293	0.4029562984	0.82625
294	0.4026557117	0.8275
295	0.4026395389	0.8275
296	0.402599991	0.8275
297	0.4025900497	0.8275
298	0.4025899853	0.8275
299	0.4025664937	0.8275
300	0.4025645438	0.8275
301	0.4023845077	0.8275
302	0.4023727268	0.8275
303	0.4022728306	0.8275
304	0.4022725484	0.8275
305	0.4022724865	0.8275
306	0.4022724761	0.8275
307	0.4022724161	0.8275
308	0.4018508245	0.8275
309	0.4017967291	0.82875
310	0.4017874191	0.83
311	0.4017181285	0.83
312	0.4016516526	0.83
313	0.401512936	0.83
314	0.401512936	0.83
315	0.4015039745	0.83
316	0.4013709505	0.83
317	0.4011654172	0.83125
318	0.4011631496	0.83125
319	0.4011250943	0.83
320	0.4010834705	0.83
321	0.4010669574	0.83
322	0.4010589221	0.83125
323	0.4010336279	0.83
324	0.4010294881	0.83
325	0.4010175939	0.83
326	0.4010175515	0.83
327	0.4009821836	0.83
328	0.4009820732	0.83
329	0.4009096667	0.83
330	0.400755607	0.82875
331	0.4007439218	0.82875
332	0.4004508158	0.83
333	0.4004094343	0.83
334	0.4003251192	0.8325
335	0.4003187614	0.83125
336	0.4002416754	0.83
337	0.4001564123	0.83125
338	0.40008274	0.83125
339	0.3999477808	0.83125
340	0.3999305101	0.83125
341	0.3994154111	0.8325
342	0.3994112403	0.8325
343	0.3994111957	0.8325
344	0.3990328938	0.8325
345	0.3990286073	0.83125
346	0.3990285736	0.83125
347	0.3988377855	0.83125
348	0.3986256155	0.83125
349	0.3986255993	0.83125
350	0.3986240133	0.83125
351	0.3986051119	0.83125
352	0.3986050856	0.83125
353	0.3985889283	0.83125
354	0.3985881858	0.83125
355	0.3985868379	0.83125
356	0.3984496327	0.8325
357	0.3984321254	0.8325
358	0.3984321212	0.8325
359	0.3982929882	0.8325
360	0.3982881418	0.8325
361	0.3980636548	0.8325
362	0.3980453832	0.8325
363	0.3980224738	0.8325
364	0.3980224716	0.8325
365	0.3980063178	0.8325
366	0.3980027747	0.8325
367	0.3979689143	0.8325
368	0.3977351346	0.8325
369	0.3977298609	0.8325
370	0.3977298402	0.8325
371	0.3977287417	0.8325
372	0.3975691066	0.8325
373	0.3972688129	0.83375
374	0.397087729	0.8325
375	0.3970495258	0.8325
376	0.3970210605	0.8325
377	0.3968733551	0.8325
378	0.3968712358	0.8325
379	0.3968557794	0.8325
380	0.3965770892	0.8325
381	0.3965759609	0.8325
