iter	Logloss	Accuracy
0	0.6838699108	0.7941507312
1	0.6753069846	0.7941507312
2	0.666490729	0.8087739033
3	0.6580711128	0.8076490439
4	0.6509907118	0.8087739033
5	0.6428456303	0.8098987627
6	0.6358373845	0.8155230596
7	0.6285424552	0.8098987627
8	0.6215779039	0.8087739033
9	0.6151968221	0.8098987627
10	0.6090477895	0.8098987627
11	0.6030273263	0.8098987627
12	0.5975315492	0.8155230596
13	0.591830223	0.8098987627
14	0.5864084388	0.811023622
15	0.5819174986	0.811023622
16	0.576602811	0.811023622
17	0.5726184379	0.816647919
18	0.5680301058	0.816647919
19	0.5632746753	0.8155230596
20	0.559391273	0.8155230596
21	0.5551887318	0.816647919
22	0.5514062422	0.816647919
23	0.5473765842	0.8177727784
24	0.5437270473	0.8188976378
25	0.5398505124	0.8188976378
26	0.5364055593	0.8143982002
27	0.5330145553	0.8143982002
28	0.5295664575	0.8143982002
29	0.5262066821	0.816647919
30	0.5231327535	0.8177727784
31	0.519797023	0.816647919
32	0.5173964342	0.816647919
33	0.5140602936	0.816647919
34	0.5108740305	0.816647919
35	0.5078704226	0.8177727784
36	0.5062463642	0.8188976378
37	0.5037132624	0.8177727784
38	0.5012684935	0.8177727784
39	0.4992742817	0.8188976378
40	0.4967085006	0.816647919
41	0.4947485649	0.8188976378
42	0.4930569853	0.8188976378
43	0.4915283953	0.8188976378
44	0.4898339338	0.8188976378
45	0.4872584164	0.816647919
46	0.485442746	0.8155230596
47	0.4837243302	0.816647919
48	0.481591799	0.8155230596
49	0.4793452686	0.8143982002
50	0.4777066376	0.8143982002
51	0.4757856038	0.8143982002
52	0.474589789	0.8143982002
53	0.4738308784	0.8143982002
54	0.4734394224	0.8143982002
55	0.4726623062	0.8143982002
56	0.4718846434	0.8143982002
57	0.4710962534	0.8143982002
58	0.4704687182	0.8143982002
59	0.4693585725	0.8143982002
60	0.468160718	0.8143982002
61	0.4667644394	0.8143982002
62	0.466330024	0.8177727784
63	0.4652380717	0.816647919
64	0.4642557696	0.8155230596
65	0.4631922315	0.8177727784
66	0.4621712591	0.816647919
67	0.4616296742	0.8143982002
68	0.4605926626	0.8177727784
69	0.4597155244	0.816647919
70	0.4585730244	0.8143982002
71	0.4573400798	0.8143982002
72	0.4562039259	0.8143982002
73	0.4551654319	0.8143982002
74	0.4544548571	0.8143982002
75	0.453206086	0.8143982002
76	0.4526420883	0.8155230596
77	0.4520590268	0.8155230596
78	0.4516878932	0.8155230596
79	0.4513014566	0.8155230596
80	0.4503523352	0.8132733408
81	0.4502026277	0.8143982002
82	0.4493150193	0.8132733408
83	0.448263594	0.8143982002
84	0.4478096221	0.8177727784
85	0.4469492742	0.8177727784
86	0.4464862021	0.8188976378
87	0.4458173034	0.822272216
88	0.4450915056	0.8245219348
89	0.4442900437	0.8211473566
90	0.4441490137	0.822272216
91	0.4436633714	0.8200224972
92	0.4432619438	0.822272216
93	0.4427529101	0.822272216
94	0.4422931432	0.8233970754
95	0.4417247497	0.822272216
96	0.4415593722	0.822272216
97	0.4410011262	0.8245219348
98	0.4404419937	0.8256467942
99	0.4403098449	0.8256467942
100	0.4400977578	0.8245219348
101	0.4397904078	0.8256467942
102	0.4389598594	0.8256467942
103	0.4383885727	0.8233970754
104	0.4374888283	0.8245219348
105	0.4370344799	0.8233970754
106	0.4356678177	0.8233970754
107	0.4355413304	0.8233970754
108	0.4350418793	0.8233970754
109	0.4349186741	0.8233970754
110	0.4344931253	0.8233970754
111	0.4342973196	0.8233970754
112	0.4337958099	0.8233970754
113	0.4336178011	0.8233970754
114	0.4333875957	0.8233970754
115	0.4329937215	0.8233970754
116	0.4322386154	0.8233970754
117	0.4319407197	0.8233970754
118	0.4317693529	0.8233970754
119	0.4314973947	0.822272216
120	0.4310040977	0.822272216
121	0.4302289187	0.8233970754
122	0.4300807999	0.8233970754
123	0.4295860062	0.8233970754
124	0.4293750961	0.8233970754
125	0.4293166776	0.822272216
126	0.4291381955	0.822272216
127	0.4286251649	0.822272216
128	0.428361635	0.822272216
129	0.4282133432	0.8233970754
130	0.4274787575	0.822272216
131	0.427279764	0.8233970754
132	0.4271414418	0.822272216
133	0.4266398875	0.822272216
134	0.4264846704	0.822272216
135	0.4262988666	0.822272216
136	0.426128503	0.822272216
137	0.4254438394	0.8233970754
138	0.4252423363	0.8245219348
139	0.4250289698	0.8256467942
140	0.4249519188	0.8245219348
141	0.4245645094	0.8245219348
142	0.4243825151	0.822272216
143	0.4242081003	0.8233970754
144	0.4235182279	0.8233970754
145	0.4234607536	0.8233970754
146	0.4232033083	0.8233970754
147	0.4231426359	0.8233970754
148	0.4227063148	0.8233970754
149	0.4223267744	0.822272216
150	0.4222080048	0.822272216
151	0.4216451096	0.822272216
152	0.4210248095	0.822272216
153	0.4208699936	0.8233970754
154	0.4204315425	0.8233970754
155	0.420232827	0.8245219348
156	0.4201390249	0.8245219348
157	0.4200843155	0.8245219348
158	0.4197237212	0.8245219348
159	0.4193705022	0.8245219348
160	0.419149445	0.8245219348
161	0.4188305618	0.8245219348
162	0.4187442279	0.8245219348
163	0.4181467241	0.8245219348
164	0.4176044973	0.8256467942
165	0.417178654	0.8256467942
166	0.4169026213	0.8256467942
167	0.4161843761	0.8245219348
168	0.4159562389	0.8245219348
169	0.415487739	0.8256467942
170	0.4153556325	0.8256467942
171	0.4149683031	0.8267716535
172	0.4145642378	0.8267716535
173	0.4145372121	0.8267716535
174	0.4143450052	0.8256467942
175	0.4141461964	0.8256467942
176	0.4140122704	0.8256467942
177	0.4135954638	0.8256467942
178	0.4134011703	0.8256467942
179	0.4130787003	0.8256467942
180	0.4128359773	0.8256467942
181	0.4125693481	0.8256467942
182	0.4125012728	0.8267716535
183	0.4124307046	0.8256467942
184	0.4122352397	0.8256467942
185	0.412120846	0.8267716535
186	0.4120519648	0.8267716535
187	0.4119838763	0.8267716535
188	0.4119514874	0.8267716535
189	0.4119476942	0.8267716535
190	0.4118781698	0.8267716535
191	0.4114546331	0.8267716535
192	0.411329922	0.8267716535
193	0.4110511226	0.8256467942
194	0.4109345012	0.8256467942
195	0.4108509461	0.8256467942
196	0.4106772172	0.8256467942
197	0.4106355225	0.8256467942
198	0.4105039345	0.8256467942
199	0.4104645676	0.8256467942
200	0.4104626056	0.8256467942
201	0.4103252459	0.8256467942
202	0.4101513479	0.8245219348
203	0.4100724143	0.8256467942
204	0.4100017964	0.8256467942
205	0.4099795215	0.8267716535
206	0.4098623594	0.8267716535
207	0.4095537914	0.8256467942
208	0.4094502772	0.8267716535
209	0.4093981624	0.8267716535
210	0.4093431508	0.8267716535
211	0.4092904156	0.8245219348
212	0.4092248532	0.8256467942
213	0.4089646768	0.8256467942
214	0.4084879166	0.822272216
215	0.4083796158	0.822272216
216	0.4082128393	0.8211473566
217	0.4079545633	0.8211473566
218	0.4078014212	0.8211473566
219	0.4077247116	0.822272216
220	0.4074173299	0.822272216
221	0.4073400384	0.822272216
222	0.4072949534	0.822272216
223	0.4072646807	0.822272216
224	0.406934645	0.822272216
225	0.4068784466	0.822272216
226	0.406841576	0.822272216
227	0.406765759	0.8211473566
228	0.4067647497	0.8211473566
229	0.4066538453	0.8211473566
230	0.4065677349	0.8211473566
231	0.406263902	0.822272216
232	0.4062466446	0.822272216
233	0.4059384451	0.8233970754
234	0.4056120138	0.822272216
235	0.4053454591	0.822272216
236	0.4051805313	0.822272216
237	0.4049182286	0.822272216
238	0.4048965936	0.822272216
239	0.4048223667	0.822272216
240	0.404645237	0.8211473566
241	0.4046008879	0.8211473566
242	0.4045871093	0.8211473566
243	0.4045264252	0.8211473566
244	0.4044108724	0.8211473566
245	0.4043612894	0.8200224972
246	0.404318067	0.8200224972
247	0.4042887686	0.8200224972
248	0.404257595	0.8211473566
249	0.4042290939	0.8211473566
250	0.4042289538	0.8211473566
251	0.4041572338	0.822272216
252	0.403862872	0.8233970754
253	0.4038069659	0.8245219348
254	0.403806864	0.8245219348
255	0.4035429299	0.8256467942
256	0.4035140989	0.8245219348
257	0.4035139329	0.8245219348
258	0.4035138505	0.8245219348
259	0.4034982755	0.8256467942
260	0.4034858243	0.8256467942
261	0.4034801219	0.8256467942
262	0.4034736091	0.8245219348
263	0.4031493952	0.8278965129
264	0.4029375839	0.8278965129
265	0.4027469468	0.8267716535
266	0.4027463407	0.8267716535
267	0.4026684587	0.8278965129
268	0.4024437043	0.8278965129
269	0.4023425345	0.8278965129
270	0.4022824513	0.8278965129
271	0.4022818303	0.8278965129
272	0.4020804349	0.8278965129
273	0.4020802286	0.8278965129
274	0.4020706842	0.8278965129
275	0.4020675449	0.8278965129
276	0.4020094171	0.8278965129
277	0.4019748515	0.8278965129
278	0.4019691878	0.8278965129
279	0.4019357108	0.8278965129
280	0.4018811155	0.8278965129
281	0.401880946	0.8278965129
282	0.4017072023	0.8278965129
283	0.4016847904	0.8278965129
284	0.4015793032	0.8278965129
285	0.4014771076	0.8278965129
286	0.4014443841	0.8278965129
287	0.4012512903	0.8278965129
288	0.4010684148	0.8278965129
289	0.4010172326	0.8278965129
290	0.4005394674	0.8278965129
291	0.4005287252	0.8278965129
292	0.4004739861	0.8278965129
293	0.4004710496	0.8278965129
294	0.4004706674	0.8278965129
295	0.4003258785	0.8278965129
296	0.4001564827	0.8278965129
297	0.4001513582	0.8278965129
298	0.4000965626	0.8278965129
299	0.400031436	0.8278965129
300	0.3999065488	0.8278965129
301	0.3998888597	0.8278965129
302	0.3993988567	0.8256467942
303	0.3993164637	0.8256467942
304	0.3992931492	0.8256467942
305	0.3992624832	0.8256467942
306	0.3991749361	0.8267716535
307	0.3990282382	0.8267716535
308	0.3990243611	0.8267716535
309	0.3989027376	0.8267716535
310	0.3987077675	0.8267716535
311	0.3987074209	0.8267716535
312	0.3986404553	0.8267716535
313	0.3984767279	0.8267716535
314	0.3983070874	0.8267716535
315	0.3982719257	0.8267716535
316	0.3982712808	0.8267716535
317	0.3980225352	0.8267716535
318	0.3979893897	0.8267716535
319	0.3979596122	0.8267716535
320	0.3979415767	0.8267716535
321	0.3976716133	0.8278965129
322	0.3976548628	0.8278965129
323	0.3975885192	0.8278965129
324	0.3974783685	0.8278965129
325	0.397450342	0.8278965129
326	0.397448581	0.8278965129
327	0.3974445414	0.8278965129
328	0.3972992045	0.8278965129
329	0.3970289695	0.8290213723
330	0.3969972896	0.8290213723
331	0.3969769719	0.8278965129
332	0.3969404903	0.8278965129
333	0.3969396497	0.8278965129
334	0.3969390729	0.8278965129
335	0.3967875705	0.8278965129
336	0.3967220235	0.8290213723
337	0.3967161257	0.8290213723
338	0.396657264	0.8290213723
339	0.3966380056	0.8290213723
340	0.3966054345	0.8290213723
341	0.396555817	0.8290213723
342	0.3962799131	0.8290213723
343	0.396215462	0.8290213723
344	0.3959123375	0.8301462317
345	0.3956900662	0.8312710911
346	0.3956692452	0.8312710911
347	0.3950075309	0.8323959505
348	0.3949260583	0.8323959505
349	0.3948789994	0.8323959505
350	0.3948720821	0.8323959505
351	0.394858929	0.8312710911
352	0.3948406458	0.8323959505
353	0.3946201985	0.8323959505
354	0.3944388079	0.8323959505
355	0.3944292644	0.8323959505
356	0.3944292621	0.8323959505
357	0.3943055098	0.8323959505
358	0.3941935636	0.8323959505
359	0.3940116562	0.8335208099
360	0.3937312504	0.8323959505
361	0.3936710679	0.8323959505
362	0.393548296	0.8323959505
363	0.3935419161	0.8323959505
364	0.3934831569	0.8323959505
365	0.3934527577	0.8323959505
366	0.3934371699	0.8323959505
367	0.3934046884	0.8323959505
368	0.3934046587	0.8323959505
369	0.3933734454	0.8323959505
370	0.3933512976	0.8335208099
371	0.3933457829	0.8335208099
372	0.393332412	0.8335208099
373	0.3931355091	0.8335208099
374	0.3931185917	0.8335208099
375	0.3931156041	0.8335208099
376	0.3930713739	0.8335208099
377	0.3930710426	0.8335208099
378	0.3930438129	0.8335208099
379	0.3929384609	0.8335208099
380	0.3929241637	0.8335208099
381	0.3929079106	0.8335208099
382	0.3929023095	0.8335208099
383	0.3928868821	0.8335208099
384	0.3926209969	0.8335208099
385	0.3922684074	0.8346456693
386	0.3922681372	0.8346456693
387	0.3922678741	0.8346456693
388	0.3921381308	0.8346456693
389	0.391925369	0.8335208099
390	0.3919049172	0.8335208099
391	0.3916947518	0.8346456693
392	0.3911763226	0.8335208099
393	0.3911749796	0.8335208099
394	0.3911559618	0.8335208099
395	0.3909032421	0.8335208099
396	0.3907602637	0.8346456693
397	0.3907512755	0.8346456693
398	0.3905618476	0.8346456693
399	0.3904935432	0.8346456693
400	0.3904916506	0.8346456693
401	0.3902903804	0.8346456693
402	0.3902749002	0.8346456693
403	0.3900770024	0.8357705287
404	0.3900755063	0.8357705287
405	0.3899899859	0.8357705287
406	0.3899352444	0.8357705287
407	0.3899348101	0.8357705287
408	0.389915682	0.8357705287
409	0.3898052462	0.8357705287
410	0.3898011713	0.8357705287
411	0.3898010289	0.8357705287
412	0.3895190405	0.8346456693
413	0.3892771469	0.8346456693
414	0.3891546201	0.8335208099
415	0.3890990575	0.8335208099
416	0.3890974768	0.8335208099
417	0.3890689128	0.8335208099
418	0.3890392823	0.8335208099
419	0.3890267537	0.8346456693
420	0.3889684225	0.8346456693
421	0.3889584316	0.8346456693
422	0.3889536198	0.8346456693
423	0.388877968	0.8346456693
424	0.3888333059	0.8346456693
425	0.3888328918	0.8346456693
426	0.3887998795	0.8346456693
427	0.3885826893	0.8357705287
428	0.3884256893	0.8357705287
429	0.3883596816	0.8357705287
430	0.3883412696	0.8346456693
431	0.388201449	0.8346456693
432	0.3882012644	0.8346456693
433	0.3881852877	0.8357705287
434	0.3880971116	0.8357705287
435	0.3880534483	0.8357705287
436	0.388001969	0.8357705287
437	0.3879585449	0.8357705287
438	0.3879446567	0.8357705287
439	0.3879442466	0.8357705287
440	0.3879137825	0.8357705287
441	0.3878856573	0.8357705287
442	0.3876522459	0.8368953881
443	0.3875912907	0.8368953881
444	0.3875858299	0.8368953881
445	0.3875843491	0.8368953881
446	0.3875834335	0.8368953881
447	0.3874293032	0.8368953881
448	0.3874055818	0.8357705287
449	0.3873835986	0.8357705287
450	0.3872981449	0.8368953881
451	0.3872952684	0.8368953881
452	0.3872797884	0.8368953881
453	0.3872537833	0.8368953881
454	0.3872328111	0.8357705287
455	0.3872247817	0.8357705287
456	0.3870305694	0.8357705287
457	0.3869922513	0.8357705287
458	0.3869231578	0.8357705287
459	0.3868087873	0.8357705287
460	0.3864811063	0.8368953881
461	0.3863124319	0.8346456693
462	0.3862925341	0.8346456693
463	0.3861642175	0.8346456693
464	0.3860894239	0.8357705287
465	0.3860471306	0.8357705287
466	0.3860123756	0.8357705287
467	0.3859855545	0.8357705287
468	0.3857975256	0.8357705287
469	0.3856673026	0.8346456693
470	0.3854755514	0.8357705287
471	0.3853690511	0.8357705287
472	0.385265004	0.8346456693
473	0.3850880023	0.8357705287
474	0.3850785692	0.8357705287
475	0.3850768885	0.8357705287
476	0.3850569568	0.8357705287
477	0.3849598534	0.8346456693
478	0.3849328315	0.8346456693
479	0.3846544523	0.8346456693
480	0.3846544387	0.8346456693
481	0.3843746507	0.8346456693
482	0.3843746417	0.8346456693
483	0.3843345796	0.8346456693
484	0.38433275	0.8346456693
485	0.3843146172	0.8346456693
486	0.3842216165	0.8346456693
487	0.3840706481	0.8357705287
488	0.3840145183	0.8357705287
489	0.3840141191	0.8357705287
490	0.383920275	0.8357705287
491	0.3837639068	0.8357705287
492	0.3837638485	0.8357705287
493	0.3835381755	0.8346456693
494	0.3835009206	0.8346456693
495	0.3833343541	0.8346456693
496	0.3832366653	0.8346456693
497	0.3832212461	0.8346456693
498	0.3830626276	0.8346456693
499	0.3830458604	0.8346456693
500	0.3829690272	0.8346456693
501	0.3828336575	0.8346456693
502	0.3828168496	0.8346456693
503	0.382599788	0.8346456693
