iter	Passed	Remaining
0	61	61404
1	73	36683
2	106	35227
3	127	31820
4	137	27395
5	156	25960
6	178	25350
7	196	24336
8	213	23510
9	229	22699
10	248	22323
11	265	21874
12	281	21379
13	299	21072
14	313	20566
15	321	19794
16	343	19848
17	354	19337
18	372	19237
19	397	19489
20	408	19038
21	422	18785
22	432	18391
23	447	18181
24	456	17789
25	473	17739
26	485	17494
27	495	17217
28	510	17109
29	545	17626
30	555	17361
31	569	17230
32	588	17247
33	609	17323
34	619	17084
35	629	16860
36	634	16516
37	644	16308
38	653	16097
39	659	15832
40	669	15668
41	679	15495
42	687	15309
43	694	15082
44	701	14883
45	711	14757
46	720	14612
47	729	14466
48	739	14355
49	766	14558
50	780	14528
51	815	14868
52	839	14999
53	846	14820
54	850	14606
55	858	14466
56	867	14356
57	874	14198
58	881	14066
59	896	14044
60	912	14045
61	927	14028
62	937	13944
63	952	13930
64	969	13945
65	980	13874
66	1006	14012
67	1018	13965
68	1035	13973
69	1044	13882
70	1058	13849
71	1073	13838
72	1089	13831
73	1113	13937
74	1124	13871
75	1138	13845
76	1150	13796
77	1161	13723
78	1171	13661
79	1187	13658
80	1206	13684
81	1213	13590
82	1228	13573
83	1240	13530
84	1260	13564
85	1271	13517
86	1283	13469
87	1294	13411
88	1314	13458
89	1326	13413
90	1332	13314
91	1339	13220
92	1344	13112
93	1354	13051
94	1360	12957
95	1365	12862
96	1377	12825
97	1390	12798
98	1400	12743
99	1410	12698
100	1419	12638
101	1431	12603
102	1441	12550
103	1448	12482
104	1458	12432
105	1467	12376
106	1483	12379
107	1491	12315
108	1505	12307
109	1513	12242
110	1541	12346
111	1549	12285
112	1570	12325
113	1578	12268
114	1585	12201
115	1596	12169
116	1610	12155
117	1623	12137
118	1630	12072
119	1640	12032
120	1651	11995
121	1665	11987
122	1678	11968
123	1688	11931
124	1693	11856
125	1699	11788
126	1703	11709
127	1710	11652
128	1716	11590
129	1726	11553
130	1736	11517
131	1742	11457
132	1748	11395
133	1757	11355
134	1762	11293
135	1767	11229
136	1773	11171
137	1786	11158
138	1797	11131
139	1808	11111
140	1830	11153
141	1842	11134
142	1849	11083
143	1855	11029
144	1865	11000
145	1871	10947
146	1879	10904
147	1883	10844
148	1899	10850
149	1913	10845
150	1919	10790
151	1932	10779
152	1943	10756
153	1950	10716
154	1960	10685
155	1968	10650
156	1979	10626
157	1991	10610
158	2005	10608
159	2016	10586
160	2027	10563
161	2041	10562
162	2049	10525
163	2076	10584
164	2091	10585
165	2106	10585
166	2116	10559
167	2130	10549
168	2139	10518
169	2155	10524
170	2166	10500
171	2176	10476
172	2183	10437
173	2188	10390
174	2196	10354
175	2206	10329
176	2217	10310
177	2233	10313
178	2248	10310
179	2258	10290
180	2268	10264
181	2277	10236
182	2282	10189
183	2288	10147
184	2308	10170
185	2314	10128
186	2319	10086
187	2326	10046
188	2332	10009
189	2340	9978
190	2350	9957
191	2357	9919
192	2361	9875
193	2370	9849
194	2375	9806
195	2382	9772
196	2390	9744
197	2397	9711
198	2408	9692
199	2413	9654
200	2429	9658
201	2436	9624
202	2443	9592
203	2451	9565
204	2459	9538
205	2465	9502
206	2471	9469
207	2481	9447
208	2487	9413
209	2493	9379
210	2499	9345
211	2503	9305
212	2507	9266
213	2517	9245
214	2527	9227
215	2534	9198
216	2550	9201
217	2561	9187
218	2567	9157
219	2574	9128
220	2584	9109
221	2598	9105
222	2618	9125
223	2627	9102
224	2635	9076
225	2639	9039
226	2644	9004
227	2649	8970
228	2658	8949
229	2666	8927
230	2675	8907
231	2683	8883
232	2686	8845
233	2696	8828
234	2706	8811
235	2717	8795
236	2725	8775
237	2735	8757
238	2740	8725
239	2746	8697
240	2756	8682
241	2762	8652
242	2767	8620
243	2773	8592
244	2780	8569
245	2787	8542
246	2792	8511
247	2808	8517
248	2825	8523
249	2832	8498
250	2840	8475
251	2849	8457
252	2858	8440
253	2868	8423
254	2872	8391
255	2892	8405
256	2906	8402
257	2910	8369
258	2912	8333
259	2916	8301
260	2922	8275
261	2929	8251
262	2932	8218
263	2941	8201
264	2951	8186
265	2957	8162
266	2967	8145
267	2974	8123
268	2983	8107
269	2990	8086
270	2996	8059
271	3001	8033
272	3012	8022
273	3022	8009
274	3030	7989
275	3037	7967
276	3047	7953
277	3053	7929
278	3058	7904
279	3067	7888
280	3074	7868
281	3082	7847
282	3089	7827
283	3095	7803
284	3111	7806
285	3121	7792
286	3126	7767
287	3132	7745
288	3142	7729
289	3147	7705
290	3157	7691
291	3163	7670
